"","age","HI"
"901",0,283.735287948368
"902",0,488.660621154674
"903",0,863.397559233902
"904",0,690.396377090404
"905",0,309.882166813059
"906",0,618.503506067693
"907",0,414.274203602125
"908",0,489.050270712184
"909",0,479.832872973607
"910",0,1217.94191667613
"911",0,228.678558939197
"912",0,445.129852922404
"913",0,161.802788275201
"914",0,557.595394195944
"915",0,693.862277796558
"916",0,800.054761608478
"917",0,148.110594178424
"918",0,514.775337532049
"919",0,848.139725293835
"920",0,345.450652552245
"921",0,382.327868155207
"922",0,416.698256041789
"923",0,503.639027906351
"924",0,576.549337598842
"925",0,759.960623374891
"926",0,404.918942064968
"927",0,465.659681841582
"928",0,1181.35988928378
"929",0,519.09614504397
"930",0,464.015354209303
"931",0,209.229317740444
"932",0,424.707512284762
"933",0,380.591240319396
"934",0,421.868385760797
"935",0,317.926484236965
"936",0,299.916055650205
"937",0,294.582853102073
"938",0,381.88178550854
"939",0,775.572279166807
"940",0,680.197010655815
"941",0,355.05223240239
"942",0,171.192649952302
"943",0,275.747950486002
"944",0,337.821230046483
"945",0,445.705839772977
"946",0,303.762576539078
"947",0,992.962543382223
"948",0,371.055291371746
"949",0,225.025826726094
"950",0,395.941638821945
"951",0,252.682591962284
"952",0,456.940424266312
"953",0,473.884489672813
"954",0,501.459958228877
"955",0,177.830200577679
"956",0,471.027611452466
"957",0,491.123800464194
"958",0,199.961721882291
"959",0,653.792865663802
"960",0,607.409370514027
"961",0,1105.03745773949
"962",0,457.058561137592
"963",0,433.759420171848
"964",0,444.212566017595
"965",0,438.566599067982
"966",0,155.224141265439
"967",0,172.707385294728
"968",0,408.479328741187
"969",0,316.993871667063
"970",0,435.425387286029
"971",0,131.892974188456
"972",0,191.163645536912
"973",0,239.627946016846
"974",0,662.360481986183
"975",0,240.026472862249
"976",0,282.494366178319
"977",0,440.688284422583
"978",0,361.781161330143
"979",0,454.841921380448
"980",0,1107.19545449047
"981",0,236.567210912163
"982",0,364.935757884518
"983",0,327.731781001284
"984",0,821.54383588168
"985",0,287.058982718637
"986",0,407.575022213569
"987",0,608.192006946664
"988",0,245.3878896419
"989",0,868.82688056079
"990",0,579.253075567644
"991",0,243.278526870719
"992",0,524.668322899717
"993",0,382.108641076399
"994",0,491.755672053592
"995",0,406.009989712371
"996",0,686.336030758279
"997",0,208.171913463984
"998",0,326.742603993126
"999",0,375.353049741851
"1000",0,254.013376056335
"1101",0,611.764079992745
"1102",0,262.362990947022
"1103",0,202.318039131969
"1104",0,457.83071123187
"1105",0,370.741088619917
"1106",0,255.44475022945
"1107",0,441.541943970207
"1108",0,211.903857085627
"1109",0,458.035824427623
"1110",0,309.823670749297
"1111",0,654.292815227597
"1112",0,1155.2524840992
"1113",0,265.314621768251
"1114",0,682.649713666173
"1115",0,618.296790195549
"1116",0,409.942838815126
"1117",0,338.533359968824
"1118",0,842.157508539417
"1119",0,140.933520165775
"1120",0,306.873984854293
"1121",0,198.152119099037
"1122",0,784.096622476913
"1123",0,386.409792304167
"1124",0,326.396169409613
"1125",0,1493.24775571408
"1126",0,413.978949210284
"1127",0,340.251061623135
"1128",0,488.722128138427
"1129",0,183.521308856143
"1130",0,533.227861127141
"1131",0,404.785368426015
"1132",0,527.998386456406
"1133",0,255.88806088107
"1134",0,250.250664191196
"1135",0,298.87396481395
"1136",0,287.287748853126
"1137",0,754.191368059674
"1138",0,843.426212391762
"1139",0,392.909867831526
"1140",0,355.238677456994
"1141",0,360.637239423447
"1142",0,438.455602661394
"1143",0,444.279908102957
"1144",0,486.49905139317
"1145",0,290.563095096093
"1146",0,275.405088216076
"1147",0,723.372111793586
"1148",0,322.376964419345
"1149",0,489.442880267836
"1150",0,412.587420252631
"1151",0,259.339055440134
"1152",0,557.900335935331
"1153",0,460.609310663237
"1154",0,785.504538118881
"1155",0,448.643018538531
"1156",0,360.18224710004
"1157",0,483.853851310976
"1158",0,228.639714966157
"1159",0,277.038948128212
