"","age","HI"
"59701",19,3501.12524842575
"59702",19,3257.26243895281
"59703",19,2385.3174537004
"59704",19,5444.18074240524
"59705",19,2911.24620770219
"59706",19,2485.33042403141
"59707",19,2967.51810781794
"59708",19,3049.51584803188
"59709",19,4014.56438345247
"59710",19,4408.47530169149
"59711",19,2288.07656954443
"59712",19,2320.82291816029
"59713",19,6252.41024990317
"59714",19,4619.27890031643
"59715",19,2858.09343584625
"59716",19,2527.55040649743
"59717",19,2887.95449019194
"59718",19,6898.40460491296
"59719",19,3817.12580758891
"59720",19,4632.2656422056
"59721",19,4989.98276971186
"59722",19,2219.08204291383
"59723",19,4815.20700520504
"59724",19,3461.59223397484
"59725",19,5755.91122441388
"59726",19,2308.65219533821
"59727",19,2861.56337419899
"59728",19,2852.99727002303
"59729",19,4334.98944717129
"59730",19,3565.91800568219
"59731",19,4973.83512069708
"59732",19,3165.28498655828
"59733",19,4687.02745351647
"59734",19,6367.01494233922
"59735",19,4410.61484060395
"59736",19,1883.30736701122
"59737",19,3864.28425188022
"59738",19,3136.80163974661
"59739",19,2637.49793274044
"59740",19,4697.28123716732
"59741",19,1939.89960617611
"59742",19,3146.12804847038
"59743",19,3322.14562354893
"59744",19,1581.63609609487
"59745",19,1821.64023594115
"59746",19,1978.49197588373
"59747",19,3694.07265479358
"59748",19,2648.96526039412
"59749",19,2764.14003891857
"59750",19,1815.65197407392
"59751",19,4266.88558319497
"59752",19,3005.17435131974
"59753",19,3295.82479722794
"59754",19,3657.10014536217
"59755",19,4688.3718272106
"59756",19,1431.8446947403
"59757",19,4383.83397541013
"59758",19,2920.58862028703
"59759",19,2704.71184569222
"59760",19,2758.52782041377
"59761",19,5019.3785850406
"59762",19,5093.73086046309
"59763",19,4590.17062816859
"59764",19,3048.63687516329
"59765",19,3061.68184371405
"59766",19,2744.87526868394
"59767",19,2787.59980428693
"59768",19,3172.74258112629
"59769",19,2664.17948711353
"59770",19,6803.05329448051
"59771",19,3850.83613306197
"59772",19,2631.84353047721
"59773",19,4206.5318958249
"59774",19,3052.72694835513
"59775",19,3601.36391244411
"59776",19,4859.28547463491
"59777",19,3970.13751791278
"59778",19,6742.84533260257
"59779",19,4092.87826718533
"59780",19,4008.22845836703
"59781",19,1708.15090567391
"59782",19,6514.28977511859
"59783",19,5101.905492301
"59784",19,4112.86929399114
"59785",19,3178.13796515201
"59786",19,2448.09693537247
"59787",19,2329.41347600702
"59788",19,4940.11164420585
"59789",19,1163.7484529588
"59790",19,2968.60425299172
"59791",19,2394.07661983703
"59792",19,6528.06893288542
"59793",19,4368.96624699081
"59794",19,3165.03297851374
"59795",19,3624.70474405422
"59796",19,4303.52576310193
"59797",19,3402.27838038673
"59798",19,2737.76529954778
"59799",19,3121.63775477531
"59800",19,4571.13894751649
"63601",19,3449.75727243353
"63602",19,3974.13616138125
"63603",19,3178.09564247318
"63604",19,4070.42980756073
"63605",19,4792.80524031426
"63606",19,3787.24689188302
"63607",19,3359.50771891847
"63608",19,4247.21216132958
"63609",19,3714.71730532394
"63610",19,2430.82992657768
"63611",19,4486.79542452322
"63612",19,1530.45314366033
"63613",19,4041.11450643026
"63614",19,1574.45496351164
"63615",19,3742.47423593385
"63616",19,3713.1955256773
"63617",19,3190.20201827046
"63618",19,5272.42816764151
"63619",19,1888.82946975783
"63620",19,4630.42954203477
"63621",19,2111.25897522944
"63622",19,3613.51326556242
"63623",19,5176.74627812082
"63624",19,1456.43771182049
"63625",19,3036.4830167328
"63626",19,2814.92230094033
"63627",19,2842.49640748789
"63628",19,4884.84880590528
"63629",19,4790.74691899271
"63630",19,3054.60514395855
"63631",19,5009.8038855744
"63632",19,3932.60652619825
"63633",19,5272.03117049655
"63634",19,2179.22409496888
"63635",19,3798.31702717023
"63636",19,2799.33084488121
"63637",19,3901.66225536946
"63638",19,2630.23431843931
"63639",19,3670.22527677834
"63640",19,4249.98076163007
"63641",19,3303.01365078675
"63642",19,3065.36093387938
"63643",19,3488.69863410246
"63644",19,3868.5221762355
"63645",19,1574.64660525184
"63646",19,3935.39170802358
"63647",19,2045.79175759273
"63648",19,3647.7899717678
"63649",19,4454.50466048257
"63650",19,5888.17943515028
"63651",19,4212.09833224545
"63652",19,2855.78578362081
"63653",19,5592.50222839033
"63654",19,3180.04044030465
"63655",19,3755.64001654861
"63656",19,2560.61439345654
"63657",19,2308.48386307931
"63658",19,2939.24200408849
"63659",19,1976.65637329365
"63660",19,4285.92804259445
"63661",19,3281.10884717253
"63662",19,5306.59500891748
"63663",19,4012.20667106769
"63664",19,6793.80962475573
"63665",19,3145.03384253219
"63666",19,2273.13380617945
"63667",19,3993.60671118285
"63668",19,4656.91040655783
"63669",19,3220.64274346484
"63670",19,4489.08762459663
"63671",19,2616.71258587037
"63672",19,3518.71930482421
"63673",19,5774.18573270316
"63674",19,3837.43703734008
