"","age","HI"
"3001",18,0.0831471940207018
"3002",18,0.254634834516016
"3003",18,0.31315409168094
"3004",18,0.223936619206804
"3005",18,0.142302689199241
"3006",18,0.192617446616153
"3007",18,0.364464992729794
"3008",18,0.0087989012123486
"3009",18,0.370232264302161
"3010",18,0.0804392792110905
"3011",18,0.400215869944143
"3012",18,0.0852560829509103
"3013",18,0.0120320859819556
"3014",18,0.170174394408523
"3015",18,0.153151297561477
"3016",18,0.0774400892525093
"3017",18,0.483467481635429
"3018",18,0.000648572816627886
"3019",18,0.118866421882496
"3020",18,0.281297328029897
"3021",18,0.276021466309172
"3022",18,0.0501042283841285
"3023",18,0.476481999409945
"3024",18,0.0530926031537446
"3025",18,0.0291255414855438
"3026",18,0.0519284710801993
"3027",18,0.209116282145867
"3028",18,0.116501166498327
"3029",18,0.00208737904229336
"3030",18,0.214458816929428
"3031",18,0.127884741875939
"3032",18,0.159015543049757
"3033",18,0.181406141629135
"3034",18,0.136188649689694
"3035",18,0.0565742329110873
"3036",18,0.136708375445921
"3037",18,0.336115081623997
"3038",18,0.14393624146874
"3039",18,0.017725793480357
"3040",18,0.201952426748181
"3041",18,0.0624187307375024
"3042",18,0.428169833364374
"3043",18,0.0707098878114298
"3044",18,0.0813306241993717
"3045",18,0.205546144914682
"3046",18,0.44692746711476
"3047",18,0.0213034954533717
"3048",18,0.0801717742647089
"3049",18,0.150252741543527
"3050",18,0.067556907581462
"3051",18,0.109690931750086
"3052",18,0.0860533234933166
"3053",18,0.198724843738016
"3054",18,0.0396036007627032
"3055",18,0.00405345485647923
"3056",18,0.20449456439245
"3057",18,0.126489657576196
"3058",18,0.0662496032057047
"3059",18,0.129017618819589
"3060",18,0.391201464925724
"3061",18,0.233611423485232
"3062",18,0.0126883448504407
"3063",18,0.509861746188765
"3064",18,0.0755021100224192
"3065",18,0.402821911514555
"3066",18,0.130930188499691
"3067",18,0.0710831087831515
"3068",18,0.00574467022390627
"3069",18,0.173942168925374
"3070",18,0.0367852013541108
"3071",18,0.00896901112846061
"3072",18,0.120351105637269
"3073",18,0.30703027060971
"3074",18,0.276748499541406
"3075",18,0.00420540221354687
"3076",18,0.212769635844673
"3077",18,0.0556063735825999
"3078",18,0.00963344556942999
"3079",18,0.0112247767317436
"3080",18,0.424731461498306
"3081",18,0.22161868508614
"3082",18,0.0323653789095009
"3083",18,0.373722197355608
"3084",18,0.51035626401746
"3085",18,0.188184264335609
"3086",18,0.119014075082763
"3087",18,0.166010884901975
"3088",18,0.147919065465331
"3089",18,0.140684189201399
"3090",18,0.0399346375732574
"3091",18,0.117119587696246
"3092",18,0.014421032550678
"3093",18,0.406611954648621
"3094",18,0.32416158686262
"3095",18,0.230787765031608
"3096",18,0.108998506195404
"3097",18,0.179327255539003
"3098",18,0.16751205136305
"3099",18,0.0324515398379893
