"","age","HI"
"118601",15,12379.6806975856
"118602",15,20749.3283044976
"118603",15,15647.8621148046
"118604",15,16538.0166036902
"118605",15,6027.98631324165
"118606",15,9311.13048086737
"118607",15,20155.22185176
"118608",15,20261.9178168033
"118609",15,25136.1647228683
"118610",15,31224.5322908252
"118611",15,17399.8898256903
"118612",15,19832.5997447872
"118613",15,19314.9626762593
"118614",15,16903.9778947551
"118615",15,17857.7222295668
"118616",15,9149.13124097948
"118617",15,6526.88608297513
"118618",15,12583.1625774397
"118619",15,17983.6547358137
"118620",15,4952.54151364441
"118621",15,3894.48242298275
"118622",15,12217.939296875
"118623",15,21911.7069200108
"118624",15,7720.89900691349
"118625",15,20193.5437211559
"118626",15,20360.1045016277
"118627",15,16742.0093652218
"118628",15,13666.6708910652
"118629",15,15272.5408550629
"118630",15,13497.548328161
"118631",15,17214.9018614209
"118632",15,7172.80371400764
"118633",15,6009.43497705183
"118634",15,21337.4065707901
"118635",15,11192.9591589345
"118636",15,46207.9952606455
"118637",15,16918.7486930718
"118638",15,12545.2654139384
"118639",15,10027.8467630135
"118640",15,7518.74592798388
"118641",15,13805.8424936835
"118642",15,13428.885368216
"118643",15,7978.12799234528
"118644",15,9744.73347425183
"118645",15,5708.10105002873
"118646",15,13416.7653412026
"118647",15,5313.81960463507
"118648",15,5707.47843079443
"118649",15,7338.35632627404
"118650",15,11482.1342768443
"118651",15,19809.0165467874
"118652",15,19408.2870517837
"118653",15,5176.53081854089
"118654",15,9667.47245313944
"118655",15,25769.9118748184
"118656",15,20501.9290081073
"118657",15,8598.83465518858
"118658",15,14600.5007370393
"118659",15,12301.428010318
"118660",15,8727.22358998715
"118661",15,16968.1923559143
"118662",15,37190.9335276319
"118663",15,19341.5866565444
"118664",15,10873.5478686933
"118665",15,9947.25987160061
"118666",15,5807.79551946461
"118667",15,12980.6505339991
"118668",15,25979.8482195827
"118669",15,4202.77097256927
"118670",15,6720.61639034268
"118671",15,14479.0184264003
"118672",15,37550.1145748759
"118673",15,3465.29740123183
"118674",15,46196.5014444473
"118675",15,16808.425207017
"118676",15,2798.33741015223
"118677",15,9525.37203875614
"118678",15,26997.7042658227
"118679",15,10152.1200813051
"118680",15,6627.87988256109
"118681",15,25986.1804032658
"118682",15,50077.7594192773
"118683",15,9764.70291944342
"118684",15,16118.5169912103
"118685",15,18344.2473131138
"118686",15,6802.24935224646
"118687",15,7102.95750843515
"118688",15,10699.3794756487
"118689",15,12476.4886134471
"118690",15,19110.0628867658
"118691",15,22663.9819120439
"118692",15,5906.81028644789
"118693",15,12484.3385886112
"118694",15,21065.3311705344
"118695",15,3970.93618352808
"118696",15,7048.7413120301
"118697",15,8857.09023354928
"118698",15,12625.8328731534
"118699",15,10482.0045922024
"118700",15,4328.86797305134
"45501",16,10732.6778186553
"45502",16,18396.723061865
"45503",16,13211.253876306
"45504",16,11015.0246866621
"45505",16,10228.8143001877
"45506",16,13005.5028140439
"45507",16,25502.4361828851
"45508",16,22457.2239075212
"45509",16,9766.4098399765
"45510",16,25175.278338711
"45511",16,7539.15565533203
"45512",16,33277.3821512499
"45513",16,16541.1248109879
"45514",16,4206.96796751528
"45515",16,20213.4148980426
"45516",16,26706.310059982
"45517",16,5999.29709139134
"45518",16,16042.3712606387
"45519",16,15036.013474793
"45520",16,7665.89314206246
"45521",16,8063.7686321625
"45522",16,18415.9050215467
"45523",16,7642.06411013873
"45524",16,12265.9190519439
"45525",16,8929.79585161891
"45526",16,4490.83536006437
"45527",16,12366.8330496077
"45528",16,11550.5335094362
"45529",16,8343.83606343273
"45530",16,13302.5180239973
"45531",16,6358.0688587421
"45532",16,7823.29362609766
"45533",16,13056.071615135
"45534",16,8412.00082156278
"45535",16,12361.0008749563
"45536",16,14239.9877848714
"45537",16,18513.0818324584
"45538",16,37442.134988013
"45539",16,12468.9153232381
